                    city                     | count 
 Mount Royal                                 |     1
 Cambridge                                   |     1
 Montreal-Ouest                              |     1
 Durmersheim                                 |     1
 Maricopa AZ                                 |     1
 Firth of Forth                              |     1
 Fort Kinnaird                               |     1
 Blainville                                  |     1
 Queensferry                                 |     1
 Rosemère                                    |     1
 Montreal-Nord                               |     1
 North Queensferry                           |     1
 Enterprise                                  |     1
 Glendale Az                                 |     1
 Inverkeithing                               |     1
 Braddock                                    |     1
 Asheville                                   |     1
 Cote-Saint-Luc                              |     1
 Montgomery                                  |     1
 West Las Vegas                              |     1
 Waddell                                     |     1
 Dormont                                     |     1
 Surprise Crossing                           |     1
 Heidelberg                                  |     1
 East Liberty                                |     1
 Banksville                                  |     1
 Terrebonne                                  |     1
 Henderson NV                                |     1
 McKeesport                                  |     1
 Victoria Park                               |     1
 Conestogo                                   |     1
 Greenfield Park                             |     1
(218 rows)

