                    city                     | count 
 Arcadia                                     |     2
 chandler                                    |     2
 Downtown                                    |     2
 Anjou                                       |     1
 Kahnawake                                   |     1
 Westworld Scottsdale                        |     1
 Mesa AZ                                     |     1
 Rock Hill                                   |     1
 Sunnyslope                                  |     1
 Ratho                                       |     1
 Fabreville                                  |     1
 Upper Saint Clair                           |     1
 Mathews                                     |     1
 Pittsburg                                   |     1
 Southside Flats                             |     1
 Deux-Montagnes                              |     1
 Scotesdale                                  |     1
 Scotland                                    |     1
 Sunrise                                     |     1
 Breslau                                     |     1
 Mascouche                                   |     1
 Nellis Air Force Base                       |     1
 Roosevelt                                   |     1
 Desert Ridge                                |     1
 Roslin                                      |     1
 Pittsburgh/S. Hills Galleria                |     1
 110. Las Vegas                              |     1
 MMRP                                        |     1
 Green Valley                                |     1
 Mount Royal                                 |     1
 St. Agatha                                  |     1
 Old Scottsdale                              |     1
 South Hills                                 |     1
 rankin                                      |     1
 Saint-Hubert                                |     1
 Peoria                                      |     1
 Fort Kinnaird                               |     1
 Meza                                        |     1
 Dallas                                      |     1
 Centennial Hills                            |     1
 Sun City Anthem                             |     1
 Pineville                                   |     1
 Ingram                                      |     1
 Montreal-Nord                               |     1
 Sainte-Ann-De-Bellevue                      |     1
 Glendale Az                                 |     1
 Litchfield Park                             |     1
 Grand Canyon                                |     1
 Mirabel                                     |     1
 Independence                                |     1
 Brookline                                   |     1
 Le Vieux-Port                               |     1
 Stowe Township                              |     1
 Las Vegas, NV                               |     1
 Metro Phoenix                               |     1
 Pittsburrgh                                 |     1
 Sainte-Genevieve                            |     1
 Sedona                                      |     1
 Burbank                                     |     1
 London                                      |     1
 Etna                                        |     1
 East Liberty                                |     1
 Water of Leith                              |     1
 Fort mill                                   |     1
 Regent Square                               |     1
 Phoenix, AZ                                 |     1
 Dalgety Bay                                 |     1
 Banksville                                  |     1
 McKeesport                                  |     1
 Victoria Park                               |     1
 Henderston                                  |     1
 Kennedy Township                            |     1
 Glasgow                                     |     1
 Lake Las Vegas                              |     1
 North Las Vegas                             |     1
 Ahwatukee Foothills Village                 |     1
 N E Las Vegas                               |     1
 Whitehall                                   |     1
 San Diego                                   |     1
 Glibert                                     |     1
 Whitney                                     |     1
 Central City                                |     1
 Balerno                                     |     1
 Penicuik                                    |     1
 Delmont                                     |     1
 Deux-Montagnes Regional County Municipality |     1
 Straiton                                    |     1
 Mesa                                        |     1
 henderson                                   |     1
 Monroe                                      |     1
 Bocholt                                     |     1
 Bruntsfield                                 |     1
 Rockport                                    |     1
 Cramond                                     |     1
 Baie-D'urfe                                 |     1
 University                                  |     1
 McAdenville                                 |     1
 Estrella Village                            |     1
 C Las Vegas                                 |     1
 Phoenix-Ahwatukee                           |     1
 Pittsburgh/Waterfront                       |     1
 Shady Side                                  |     1
 Old Montreal                                |     1
 Nboulder City                               |     1
 Columbus                                    |     1
 Locust                                      |     1
 Oregon                                      |     1
 NELLIS AFB                                  |     1
 Bloomfield                                  |     1
 South Mountain                              |     1
 W Spring Valley                             |     1
 Gilbert, AZ                                 |     1
 Robinson Township                           |     1
 Central Henderson                           |     1
 Henderson and Las vegas                     |     1
 Pointe Claire                               |     1
 South Gyle                                  |     1
 W Henderson                                 |     1
 Lower Lawrenceville                         |     1
 Green Tree                                  |     1
 Los Angeles                                 |     1
 Mt. Oliver Boro                             |     1
 Stutensee-Blankenloch                       |     1
 La Paz                                      |     1
 Tempe                                       |     1
 Stanfield                                   |     1
 North Scottsdale                            |     1
 Roxboro                                     |     1
 Charlemagne                                 |     1
 Ft. Mill                                    |     1
 Blawnox                                     |     1
 W Summerlin                                 |     1
 Le Sud-Ouest                                |     1
 Golden Square Mile                          |     1
 St Leonard                                  |     1
 Maricopa AZ                                 |     1
 Mattews                                     |     1
 Sainte-Therese                              |     1
 Cornwell Development                        |     1
 Newington                                   |     1
 Montreal-West                               |     1
 Chandler-Gilbert                            |     1
 New Dundee                                  |     1
 Montreal-Est                                |     1
 Allegheny                                   |     1
 Phoenix                                     |     1
 Central                                     |     1
 Bruchsal                                    |     1
 Eagan                                       |     1
 Milton Bridge                               |     1
 North Carolina                              |     1
 Saint-Henri                                 |     1
 Surprise Crossing                           |     1
 Phoenix Metro Area                          |     1
 Edinburgh City of                           |     1
 N W Las Vegas                               |     1
 Phoenix Sky Harbor Center                   |     1
 Henderson NV                                |     1
 Chateau                                     |     1
 Goldfield                                   |     1
 Bonnyrigg and Lasswade                      |     1
 Queen Valley                                |     1
 City Center                                 |     1
(391 rows)

                    city                     
---------------------------------------------
 Rheinstetten
 Tempe
 Bellevue
 Henderson
 Apache Junction
 Cottage Grove
 Fabreville
 Kahnawake
 Anjou
 City Center
 Queen Valley
 Mt Lebanon
 Central City Village
 Phoenix Sky Harbor Center
 Musselburgh
 Coolidge
 South Queensferry
 New Dundee
 Chandler-Gilbert
 glendale
 Montreal-West
 Carefree
 Glendale
 Cornwell Development
 Tortilla Flat
 Sainte-Therese
 Pointe-Claire
 Jockgrim
 Mattews
 Boucherville
 W Summerlin
 Dorval
 St. Jacobs
 Stanfield
 McFarland
 Squirrel Hill
 Mount Holly
 Henderson and Las vegas
 Gilbert, AZ
 Locust
 Nboulder City
 Bellvue
 Pheonix
 chandler
 Tolleson
 Wickenburg
 Montreal
 Leith
 Saint-Eustache
 henderson
 Rio Verde
 Mc Kees Rocks
 Glibert
 Aspinwall
 Regent Square
 Paradise Valley
 Sedona
 Independence
 Litchfield Park
 Wesley Chapel
 Litchfield Park 
 West Homestead
 Longueuil
 Anthem
 Pineville 
 Lasswade
 Old Scottsdale
 Fort Mill
 Concord
 Hagenbach
 Sun City
 MMRP
 Pittsburgh/S. Hills Galleria
 Roosevelt
 Scotland
 Deux-Montagnes
 Paradise
 Southside Flats
 Mathews
 Clark
 Mesa
 Pittsburg
 Beaconsfield
 Scottdale
 Saint-Laurent
 Summerlin South
 Edinburgh
 Scotesdale
 Karlsruhe
 Sunrise
 Breslau
 Mascouche
 DeForest
 Nellis Air Force Base
 Gilbert
 Lawrenceville
 Desert Ridge
 N. Las Vegas
 Roslin
 Clover
 West Mifflin
 Tonto Basin
 La Prairie
 110. Las Vegas
 Surprise
 Middleton
 Green Valley
 Stoughton
 Bridgeville
 Guadalupe
 Las Vegas 
 Mount Royal
 Cambridge
 St. Agatha
 Lake Wylie
 De Forest
 Indian Land
 N Las Vegas
 Swissvale
 Eggenstein-Leopoldshafen
 Waunakee
 South Hills
 rankin
 Mont-Royal
 Saint-Hubert
 Peoria 
 Fort Kinnaird
 Juniper Green
 Meza
 Dallas
 Neuburg am Rhein
 Centennial Hills
 Laveen
 Sun City Anthem
 Blainville
 Peoria
 Queensferry
 Windsor
 Mc Farland
 Ingram
 Montreal-Nord
 Sun Lakes
 Sainte-Ann-De-Bellevue
 Enterprise
 Stallings
 Lasalle
 Glendale Az
 Youngtown
 Pittsburgh
 Grand Canyon
 Nellis AFB
 Mirabel
 Chandler
 Brookline
 Gila Bend
 Braddock
 Le Vieux-Port
 Stowe Township
 St Jacobs
 Las Vegas, NV
 Metro Phoenix
 Shadyside
 Mount Washington
 Portobello
 Pittsburrgh
 Sainte-Genevieve
 Waddell
 Dormont
 Bonnyrigg
 Allentown
 Goodyear
 Burbank
 London
 Etna
 East Liberty
 Water of Leith
 Fort mill
 Sun City West
 Phoenix, AZ
 Pineville
 Dalgety Bay
 Banksville
 Terrebonne
 McKeesport
 Victoria Park
 Mcfarland
 New Town
 Henderston
 Deforest
 Kennedy Township
 Glasgow
 Lake Las Vegas
 Greenfield Park
 North Las Vegas 
 Arcadia
 Ahwatukee Foothills Village
 N E Las Vegas
 Dane
 Whitehall
 San Diego
 Mint Hill
 Madison
 Whitney
 Stockbridge
 Vimont
 Fort McDowell
 Waldbronn
 Central City
 Balerno
 Penicuik
 Homestead
 McKees Rocks
 Loanhead
 Brentwood
 Delmont
 Dollard-Des Ormeaux
 Deux-Montagnes Regional County Municipality
 Straiton
 Mesa 
 Sainte-Anne-De-Bellevue
 Old Town
 Sainte-Anne-de-Bellevue
 Arlington
 Tega Cay
 Verdun
 Concord Mills
 Verona
 Las Vegas
 Midlothian
 Monroe
 Mckees Rocks
 Mount Lebanon
 Bietigheim
 Boisbriand
 Bocholt
 Bruntsfield
 Rockport
 Newbridge
 Cramond
 Baie-D'urfe
 LAS VEGAS
 Morristown
 Harrisburg
 Dollard-Des-Ormeaux
 Munhall
 University
 McAdenville
 Estrella Village
 Pierrefonds
 C Las Vegas
 Phoenix-Ahwatukee
 Pittsburgh/Waterfront
 Shady Side
 Waterloo
 Nellis Afb
 Old Montreal
 Huntersville
 Columbus
 Scottsdale
 Oregon
 NELLIS AFB
 Bloomfield
 Wittmann
 Laveen Village
 South Mountain
 Waxhaw
 Tonopah
 W Spring Valley
 Stutensee
 Kitchener
 Robinson Township
 Millvale
 Lachine
 Sharpsburg
 South Las Vegas
 
 Higley
 Weingarten
 Central Henderson
 Outremont
 North Las Vegas
 Pointe Claire
 Gold Canyon
 South Gyle
 W Henderson
 Rosemere
 Lower Lawrenceville
 Green Tree
 Bethel Park
 Dravosburg
 Los Angeles
 Mt. Oliver Boro
 Stutensee-Blankenloch
 San Tan Valley
 La Paz
 Tempe 
 Brossard
 North Scottsdale
 Roxboro
 Fitchburg
 Charlemagne
 Ft. Mill
 Blawnox
 Wilkinsburg
 Ettlingen
 Le Sud-Ouest
 Golden Square Mile
 New River
 Durmersheim
 Sun Prairie
 St Leonard
 Weingarten (Baden)
 Maricopa AZ
 Matthews
 Castle Shannon
 Avondale
 Queen Creek
 Firth of Forth
 Weddington
 Laval
 Phoenix
 Newington
 Saint-laurent
 Saint Laurent
 Fountain Hills
 Charlotte 
 Urbana
 Maricopa
 Saint-Lambert
 Black Canyon City
 Karlsbad
 Monona
 North Queensferry
 Montreal-Est
 Summerlin
 Inverkeithing
 Allegheny
 Cave Creek
 Buckeye
 Phoenix 
 Crafton
 Indian Trail
 Westmount
 Central
 Bruchsal
 Eagan
 Ahwatukee
 Milton Bridge
 Kirkland
 North Carolina
 Downtown
 Upper Saint Clair
 Saint-Henri
 Surprise Crossing
 Edgewood
 Phoenix Metro Area
 Heidelberg
 Savoy
 East Mesa
 Edinburgh City of
 N W Las Vegas
 Spring Valley
 Carnegie
 Henderson NV
 Oakland
 Florence
 City of Edinburgh
 Conestogo
 Belmont
 Chateau
 Goldfield
 Bonnyrigg and Lasswade
 Champaign
 Dollard-des-Ormeaux
 Saint-Leonard
 Dalkeith
 Fort Mcdowell
 Boulder City
 Charlotte
 Rankin
 Westworld Scottsdale
 Mesa AZ
 Rock Hill
 LaSalle
 phoenix
 Pfinztal
 Sunnyslope
 Ratho
 Chandler Heights
 El Mirage
 Casa Grande
(391 rows)

                   List of relations
 Schema |            Name            | Type  |  Owner  
--------+----------------------------+-------+---------
 public | toronto_health_inspections | table | jessica
 public | xml_test                   | table | jessica
 public | yelp_dataset_7             | table | jessica
 public | yelp_reviews_1             | table | jessica
 public | yelp_tips_2                | table | jessica
(5 rows)

                   List of relations
 Schema |            Name            | Type  |  Owner  
--------+----------------------------+-------+---------
 public | toronto_health_inspections | table | jessica
 public | xml_test                   | table | jessica
 public | yelp_dataset_7             | table | jessica
 public | yelp_reviews_1             | table | jessica
 public | yelp_tips_2                | table | jessica
(5 rows)

                   List of relations
 Schema |            Name            | Type  |  Owner  
--------+----------------------------+-------+---------
 public | toronto_health_inspections | table | jessica
 public | xml_test                   | table | jessica
 public | yelp_dataset_7             | table | jessica
 public | yelp_reviews_1             | table | jessica
 public | yelp_tips_2                | table | jessica
(5 rows)

